"","Gene_name","Description","log2FC_male-female","q-value"
"933","CLIC1","Chloride intracellular channel protein 1",0.124118016843521,0.406752772303904
"934","DAZAP1","DAZ-associated protein 1",0.12411089012161,0.281331616004852
"935","RILP","Rab-interacting lysosomal protein",0.124013302052385,0.568050604929914
"936","IDH3G","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",0.123544082204363,0.250084212364338
"937","CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.123383515004058,0.392290813762872
"938","NLRX1","NLR family member X1",0.123365244845774,0.359851521057021
"939","AS3MT","Arsenite methyltransferase",0.12334360215738,0.373843055711503
"940","EIF3J","Eukaryotic translation initiation factor 3 subunit J",0.123228399332811,0.142403740134169
"941","KPNA1","Importin subunit alpha-5",0.122943752741886,0.27900347734144
"942","AGRN","Agrin",0.122672014887518,0.496067763989024
"943","PPP2R2A","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",0.122600821608405,0.256434943789787
"944","RTN3","Reticulon-3",0.122331837222978,0.38933124876351
"945","HADHB","Trifunctional enzyme subunit beta, mitochondrial",0.122325745300909,0.45678829701829
"946","CLUH","Clustered mitochondria protein homolog",0.122091876837096,0.207457906471969
"947","OTUD4","OTU domain-containing protein 4",0.122037761963663,0.496446338680025
"948","FARSB","Phenylalanine--tRNA ligase beta subunit",0.121874860680364,0.141486013467496
"949","CRADD","Death domain-containing protein CRADD",0.121665777263603,0.377816116417016
"950","MSRB2","Methionine-R-sulfoxide reductase B2, mitochondrial",0.121590416756854,0.404066021069232
"951","OXSR1","Serine/threonine-protein kinase OSR1",0.121494837673584,0.253830515707326
"952","HMGCL","Hydroxymethylglutaryl-CoA lyase, mitochondrial",0.121396348808625,0.336844853829967
"953","GPT","Alanine aminotransferase 1",0.121096945528524,0.379247584935492
"954","NDUFB4","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4",0.120986958011208,0.425836892484466
"955","VCP","Transitional endoplasmic reticulum ATPase",0.120944722257127,0.0912495554689058
"956","MRPS27","28S ribosomal protein S27, mitochondrial",0.12074200776892,0.347938890762905
"957","SEC23IP","SEC23-interacting protein",0.120653366941541,0.240711934055262
"958","OTUB1","Ubiquitin thioesterase OTUB1",0.120651083436362,0.164506913630468
"959","PPP2R5A","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",0.120608479195361,0.373843055711503
"960","SNX3","Sorting nexin-3",0.120570271235506,0.261422980312487
"961","NPLOC4","Nuclear protein localization protein 4 homolog",0.120213745746828,0.297082681137117
"962","RPS3","40S ribosomal protein S3",0.11986313181646,0.292314032177381
"963","PGAM1","Phosphoglycerate mutase 1",0.119856503146988,0.265478293533947
"964","EIF3I","Eukaryotic translation initiation factor 3 subunit I",0.119697670952799,0.263577548920296
"965","OXSM","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",0.11969322934546,0.503682991661351
"966","RTCB","RNA-splicing ligase RtcB homolog",0.119648461268012,0.0749216559362703
"967","BCKDHB","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",0.119439652185045,0.49604792972325
"968","EMC4","ER membrane protein complex subunit 4",0.119377220753284,0.253830515707326
"969","PRKAB2","5'-AMP-activated protein kinase subunit beta-2",0.11928396509532,0.21316192739159
"970","ATP5IF1","ATPase inhibitor, mitochondrial",0.119079750867591,0.568481208640041
"971","GARS1","Glycine--tRNA ligase",0.119000133466148,0.136570468188738
"972","NDUFS2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",0.118702501270516,0.404252319944641
"973","MPP1","55 kDa erythrocyte membrane protein",0.118683334899258,0.368003637043089
"974","SURF4","Surfeit locus protein 4",0.118600789051458,0.322702123255144
"975","ALDH16A1","Aldehyde dehydrogenase family 16 member A1",0.118542948033564,0.507650895680724
"976","ARL6IP5","PRA1 family protein 3",0.118069063379989,0.406403871875074
"977","MAP4","Microtubule-associated protein 4",0.118023961330776,0.237227326731938
"978","MB","Myoglobin",0.117921799594679,0.279291777771781
"979","KPNA4","Importin subunit alpha-3",0.117790479887857,0.185351830628396
"980","NFIC","Nuclear factor 1 C-type",0.117730259401611,0.434946708145277
"981","COX4I1","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",0.117310407870001,0.400799055284896
"982","NDUFA3","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3",0.11665045235037,0.45678829701829
"983","UGP2","UTP--glucose-1-phosphate uridylyltransferase",0.11623224085125,0.203173529309261
"984","HSD17B12","Very-long-chain 3-oxoacyl-CoA reductase",0.116159840753033,0.327908325127708
"985","NEXN","Nexilin",0.11605763330685,0.39711971335571
"986","FHL3","Four and a half LIM domains protein 3",0.115803297615589,0.253830515707326
"987","FLNA","Filamin-A",0.115318483813086,0.263577548920296
"988","UBE2N","Ubiquitin-conjugating enzyme E2 N",0.115304538684367,0.360435332261188
"989","OCIAD1","OCIA domain-containing protein 1",0.115302687726327,0.347458224971143
"990","SCRIB","Protein scribble homolog",0.115287823931263,0.52857585112997
"991","EPDR1","Mammalian ependymin-related protein 1",0.115242147774621,0.375373632051298
"992","CMC1","COX assembly mitochondrial protein homolog",0.115225351350949,0.45678829701829
"993","INPP4B","Inositol polyphosphate 4-phosphatase type II",0.114871413441179,0.504990743164846
"994","CSDE1","Cold shock domain-containing protein E1",0.114570110014363,0.368164178773709
"995","STRIP2","Striatin-interacting protein 2",0.114530361594074,0.474232387791033
"996","CPSF6","Cleavage and polyadenylation specificity factor subunit 6",0.114407930133668,0.520170506752919
"997","EIF2A","Eukaryotic translation initiation factor 2A",0.114348202902102,0.361080177614358
"998","CLINT1","Clathrin interactor 1",0.114176312910773,0.35624514451905
"999","MCTS1","Malignant T-cell-amplified sequence 1",0.114171440618236,0.300311956974525
"1000","GET3","ATPase GET3",0.114041449645018,0.140672864295353
"1001","PSMF1","Proteasome inhibitor PI31 subunit",0.114038749245358,0.298857787810178
"1002","MYL6","Myosin light polypeptide 6",0.11402597725335,0.205145429019072
"1003","TPPP3","Tubulin polymerization-promoting protein family member 3",0.11388568406192,0.496743666507684
"1004","KPNA3","Importin subunit alpha-4",0.113854434715819,0.359851521057021
"1005","GAPVD1","GTPase-activating protein and VPS9 domain-containing protein 1",0.113757870019796,0.592606903804535
"1006","COQ6","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",0.113740668342935,0.277671308124249
"1007","HSP90AA1","Heat shock protein HSP 90-alpha",0.113659663170058,0.358112912031075
"1008","CBR1","Carbonyl reductase [NADPH] 1",0.113514373766588,0.401403948115554
"1009","MGLL","Monoglyceride lipase",0.113418875112194,0.45678829701829
"1010","CRAT","Carnitine O-acetyltransferase",0.113250114615607,0.493941251441662
"1011","PRKAR1A","cAMP-dependent protein kinase type I-alpha regulatory subunit",0.11322838276188,0.225156980674741
"1012","RCN1","Reticulocalbin-1",0.113226442952765,0.38933124876351
"1013","NCLN","Nicalin",0.113222924709911,0.379247584935492
"1014","MYL12B","Myosin regulatory light chain 12B",0.113201850188233,0.481167024126379
"1015","UBE2G2","Ubiquitin-conjugating enzyme E2 G2",0.112927375637765,0.38933124876351
"1016","KCNC1","Potassium voltage-gated channel subfamily C member 1",0.112504767847515,0.549947765438604
"1017","PCCB","Propionyl-CoA carboxylase beta chain, mitochondrial",0.112447994832474,0.393701481542147
"1018","BOLA2B","BolA-like protein 2",0.112428705895965,0.402459961206037
"1019","IDE","Insulin-degrading enzyme",0.112411668300947,0.35818556251104
"1020","HNRNPH1","Heterogeneous nuclear ribonucleoprotein H",0.112343523633502,0.234220161124535
"1021","NID2","Nidogen-2",0.112340803895982,0.213419203038983
"1022","TATDN3","Putative deoxyribonuclease TATDN3",0.11234064160378,0.478007428855162
"1023","ATP5PD","ATP synthase subunit d, mitochondrial",0.112307881126839,0.45678829701829
"1024","CDC123","Cell division cycle protein 123 homolog",0.112168686303802,0.51662079591633
"1025","HNRNPL","Heterogeneous nuclear ribonucleoprotein L",0.112076530820914,0.225771996141257
"1026","SYNC","Syncoilin",0.111511749444208,0.298149236637749
"1027","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",0.111463925524424,0.155134627232173
"1028","SYNRG","Synergin gamma",0.110959695226828,0.591852248825561
"1029","OSBPL9","Oxysterol-binding protein-related protein 9",0.110759628354582,0.51208385510182
"1030","ZRANB2","Zinc finger Ran-binding domain-containing protein 2",0.110530557117828,0.355749321021423
"1031","SRSF7","Serine/arginine-rich splicing factor 7",0.110393633471906,0.414230681093485
"1032","MRPS35","28S ribosomal protein S35, mitochondrial",0.110381089541088,0.501681648124783
"1033","CARD19","Caspase recruitment domain-containing protein 19",0.110361372055603,0.334601255471872
"1034","RPS27A","Ubiquitin-40S ribosomal protein S27a",0.110349981974053,0.267927749895099
"1035","CRIP1","Cysteine-rich protein 1",0.110318365314599,0.466277940142492
"1036","CYB5R3","NADH-cytochrome b5 reductase 3",0.110282108443043,0.267927749895099
"1037","PRUNE1","Exopolyphosphatase PRUNE1",0.110200730902022,0.341524073089075
"1038","C4A","Complement C4-A",0.110099172874188,0.466063711002229
"1039","AIMP1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",0.10984606198193,0.141486013467496
"1040","RAP1B","Ras-related protein Rap-1b",0.109818527402558,0.501042180881417
"1041","RPL7A","60S ribosomal protein L7a",0.109248073882613,0.347938890762905
"1042","AP1M1","AP-1 complex subunit mu-1",0.109037129109836,0.477279362349074
"1043","MT-CO3","Cytochrome c oxidase subunit 3",0.108781270401677,0.507650895680724
"1044","SERBP1","Plasminogen activator inhibitor 1 RNA-binding protein",0.108665702868167,0.436925846178309
"1045","PPP3R1","Calcineurin subunit B type 1",0.108441598170918,0.51208385510182
"1046","GPC1","Glypican-1",0.108039708495907,0.496446338680025
"1047","TMEM11","Transmembrane protein 11, mitochondrial",0.107952046634772,0.380458154130845
"1048","PPP6R3","Serine/threonine-protein phosphatase 6 regulatory subunit 3",0.107708175376031,0.292314032177381
"1049","BLVRB","Flavin reductase (NADPH)",0.107668811533332,0.314700630649028
"1050","GAA","Lysosomal alpha-glucosidase",0.107633544098936,0.338623921502646
"1051","UBL5","Ubiquitin-like protein 5",0.107601271611948,0.434946708145277
"1052","CDNF","Cerebral dopamine neurotrophic factor",0.10708210119161,0.45678829701829
"1053","SLC4A1","Band 3 anion transport protein",0.10704008201912,0.58130634452048
"1054","NPM1","Nucleophosmin",0.107035402637385,0.225367271068518
"1055","DPYSL2","Dihydropyrimidinase-related protein 2",0.107009840759497,0.345610673738413
"1056","UBL4A","Ubiquitin-like protein 4A",0.106779675160348,0.58312237780733
"1057","HSPBP1","Hsp70-binding protein 1",0.106759133941567,0.41533919941508
"1058","PSMC4","26S proteasome regulatory subunit 6B",0.106637004615978,0.157967704878343
"1059","RMND5A","E3 ubiquitin-protein transferase RMND5A",0.1064015700669,0.515768349970204
"1060","DYRK1A","Dual specificity tyrosine-phosphorylation-regulated kinase 1A",0.106256644114687,0.466277940142492
"1061","OSBPL11","Oxysterol-binding protein-related protein 11",0.106111007036015,0.607177669352381
"1062","FAM136A","Protein FAM136A",0.10608372118973,0.439942810655147
"1063","PSMB4","Proteasome subunit beta type-4",0.105831802561696,0.292314032177381
"1064","MKNK1","MAP kinase-interacting serine/threonine-protein kinase 1",0.105572378665702,0.570881103261348
"1065","GLRX2","Glutaredoxin-2, mitochondrial",0.105563218774391,0.528589433089901
"1066","ACAD8","Isobutyryl-CoA dehydrogenase, mitochondrial",0.105380254667544,0.369987059486619
"1067","ARL3","ADP-ribosylation factor-like protein 3",0.105317039572896,0.285695727920306
"1068","NIPSNAP2","Protein NipSnap homolog 2",0.105279863499071,0.286505030983822
"1069","FAM114A2","Protein FAM114A2",0.105040375303913,0.381862422476645
"1070","BANF1","Barrier-to-autointegration factor",0.10468612745075,0.436138989440086
"1071","PSMC5","26S proteasome regulatory subunit 8",0.104197249783493,0.169041259395486
"1072","SARS2","Serine--tRNA ligase, mitochondrial",0.104192494873255,0.265478293533947
"1073","RALY","RNA-binding protein Raly",0.104123075892991,0.374042872619324
"1074","IFITM3","Interferon-induced transmembrane protein 3",0.104115032045691,0.52857585112997
"1075","RRAGA","Ras-related GTP-binding protein A",0.103996519639018,0.484962358924194
"1076","CHCHD7","Coiled-coil-helix-coiled-coil-helix domain-containing protein 7",0.103973899529048,0.599093578733305
"1077","ALDOC","Fructose-bisphosphate aldolase C",0.103958490017074,0.586659942848303
"1078","MYOF","Myoferlin",0.103633192255881,0.54502304471538
"1079","NAGK","N-acetyl-D-glucosamine kinase",0.103294829901095,0.419101352236636
"1080","ACTN1","Alpha-actinin-1",0.10304921782876,0.313608376275979
"1081","ACTR2","Actin-related protein 2",0.102961371548503,0.379247584935492
"1082","ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase",0.102700039114907,0.540440746532757
"1083","TIMM17A","Mitochondrial import inner membrane translocase subunit Tim17-A",0.102377264776555,0.571408018262877
"1084","UBE2G1","Ubiquitin-conjugating enzyme E2 G1",0.102372382996416,0.309979660608944
"1085","RPL10","60S ribosomal protein L10",0.102120007703702,0.434946708145277
"1086","TOMM40","Mitochondrial import receptor subunit TOM40 homolog",0.101937840233109,0.507650895680724
"1087","UBE2I","SUMO-conjugating enzyme UBC9",0.101839329756324,0.379415881616443
"1088","KCTD12","BTB/POZ domain-containing protein KCTD12",0.101816789647494,0.404114088202417
"1089","SNU13","NHP2-like protein 1",0.101575832158398,0.484273221972785
"1090","SLC25A20","Mitochondrial carnitine/acylcarnitine carrier protein",0.10156768052582,0.550111221942715
"1091","PDLIM7","PDZ and LIM domain protein 7",0.101474628044294,0.592606903804535
"1092","ARHGAP17","Rho GTPase-activating protein 17",0.101433174282432,0.331966178147257
"1093","FSD2","Fibronectin type III and SPRY domain-containing protein 2",0.10127150168594,0.379415881616443
"1094","ANO6","Anoctamin-6",0.101109580517431,0.332244437332133
"1095","OGDH","2-oxoglutarate dehydrogenase complex component E1",0.101029672910066,0.434946708145277
"1096","NDUFS7","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",0.100927228104847,0.476652732173727
"1097","AKR1B1","Aldo-keto reductase family 1 member B1",0.100925475028617,0.333918185509534
"1098","SFPQ","Splicing factor, proline- and glutamine-rich",0.100814353526214,0.359851521057021
"1099","HINT1","Adenosine 5'-monophosphoramidase HINT1",0.10080220029308,0.400799055284896
"1100","HSPB1","Heat shock protein beta-1",0.100597243941987,0.392290813762872
"1101","NFS1","Cysteine desulfurase",0.10057889314108,0.568050604929914
"1102","MIF","Macrophage migration inhibitory factor",0.1004726520137,0.385595147484402
"1103","ENY2","Transcription and mRNA export factor ENY2",0.100422195108964,0.383944312432145
"1104","MYH9","Myosin-9",0.100271651931454,0.306518129737177
"1105","CSRP1","Cysteine and glycine-rich protein 1",0.100252005083199,0.466277940142492
"1106","CASQ1","Calsequestrin-1",0.0999542271704392,0.513203867222862
"1107","L2HGDH","L-2-hydroxyglutarate dehydrogenase, mitochondrial",0.0999290812108828,0.325283670115144
"1108","CPT2","Carnitine O-palmitoyltransferase 2, mitochondrial",0.0998919663858508,0.466063711002229
"1109","UNC45B","Protein unc-45 homolog B",0.0997952330729923,0.551272634257972
"1110","LSM1","U6 snRNA-associated Sm-like protein LSm1",0.0996527680288892,0.380291857151029
"1111","CUL4A","Cullin-4A",0.0993592771956404,0.333918185509534
"1112","MYO18A","Unconventional myosin-XVIIIa",0.0989391721208985,0.45678829701829
"1113","HSD17B4","Peroxisomal multifunctional enzyme type 2",0.0989264012091429,0.381862422476645
"1114","OSBPL1A","Oxysterol-binding protein-related protein 1",0.0988503635049565,0.399168751850588
